country,survey_name,survey_food_item_name,standard_original_food_id,standard_original_food_name,source
MWI,IHS5,MAIZE UFA MGAIWA (NORMAL FLOUR),101,MAIZE UFA MGAIWA (NORMAL FLOUR),mwi-ihs5-standard_food_list
MWI,IHS5,MAIZE UFA REFINED (FINE FLOUR),102,MAIZE UFA REFINED (FINE FLOUR),mwi-ihs5-standard_food_list
MWI,IHS5,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),mwi-ihs5-standard_food_list
MWI,IHS5,MAIZE GRAIN (NOT AS UFA),104,MAIZE GRAIN (NOT AS UFA),mwi-ihs5-standard_food_list
MWI,IHS5,GREEN MAIZE,105,GREEN MAIZE,mwi-ihs5-standard_food_list
MWI,IHS5,RICE,106,RICE,mwi-ihs5-standard_food_list
MWI,IHS5,FINGER MILLET (MAWERE),107,FINGER MILLET (MAWERE),mwi-ihs5-standard_food_list
MWI,IHS5,DORGHUM FLOUR,108,SORGHUM (MAPIRA),mwi-ihs5-non_standard_food_list
MWI,IHS5,MAPIRA,108,SORGHUM (MAPIRA),mwi-ihs5-non_standard_food_list
MWI,IHS5,MISALE,108,SORGHUM (MAPIRA),mwi-ihs5-non_standard_food_list
MWI,IHS5,SOHGUM FLOUR (UFA),108,SORGHUM (MAPIRA),mwi-ihs5-non_standard_food_list
MWI,IHS5,SORGHUM (MAPIRA),108,SORGHUM (MAPIRA),mwi-ihs5-standard_food_list
MWI,IHS5,SORGHUM FLOUR,108,SORGHUM (MAPIRA),mwi-ihs5-non_standard_food_list
MWI,IHS5,PEARL MILLET (MCHEWERE),109,PEARL MILLET (MCHEWERE),mwi-ihs5-standard_food_list
MWI,IHS5,WHEAT FLOUR,110,WHEAT FLOUR,mwi-ihs5-standard_food_list
MWI,IHS5,BREAD,111,BREAD,mwi-ihs5-standard_food_list
MWI,IHS5,"BUNS, SCONES",112,"BUNS, SCONES",mwi-ihs5-standard_food_list
MWI,IHS5,BISCUITS,113,BISCUITS,mwi-ihs5-standard_food_list
MWI,IHS5,"SPAGHETTI, MACARONI, PASTA",114,"SPAGHETTI, MACARONI, PASTA",mwi-ihs5-standard_food_list
MWI,IHS5,BREAKFAST CEREALS,115,BREAKFAST CEREALS,mwi-ihs5-standard_food_list
MWI,IHS5,INFANT FEEDING CEREALS,116,INFANT FEEDING CEREALS,mwi-ihs5-standard_food_list
MWI,IHS5,MAIZE UFA RAW MADEYA (BRAN FLOUR - UNPROCESSED),118,MAIZE UFA RAW MADEYA (BRAN FLOUR - UNPROCESSED),mwi-ihs5-standard_food_list
MWI,IHS5,CASSAVA TUBERS,201,CASSAVA TUBERS,mwi-ihs5-standard_food_list
MWI,IHS5,CASSAVA FLOUR,202,CASSAVA FLOUR,mwi-ihs5-standard_food_list
MWI,IHS5,WHITE SWEET POTATO,203,WHITE SWEET POTATO,mwi-ihs5-standard_food_list
MWI,IHS5,ORANGE SWEET POTATO,204,ORANGE SWEET POTATO,mwi-ihs5-standard_food_list
MWI,IHS5,IRISH POTATO,205,IRISH POTATO,mwi-ihs5-standard_food_list
MWI,IHS5,IRISH POTATOES,205,IRISH POTATO,mwi-ihs5-non_standard_food_list
MWI,IHS5,POTATO CRISPS,206,POTATO CRISPS,mwi-ihs5-standard_food_list
MWI,IHS5,"PLANTAIN, COOKING BANANA",207,"PLANTAIN, COOKING BANANA",mwi-ihs5-standard_food_list
MWI,IHS5,COCOYAM (MASIMBI),208,COCOYAM (MASIMBI),mwi-ihs5-standard_food_list
MWI,IHS5,COCOYAMS,208,COCOYAM (MASIMBI),mwi-ihs5-non_standard_food_list
MWI,IHS5,YAMS,208,COCOYAM (MASIMBI),mwi-ihs5-non_standard_food_list
MWI,IHS5,"BEAN, WHITE",301,"BEAN, WHITE",mwi-ihs5-standard_food_list
MWI,IHS5,BUTTER BEANS,301,"BEAN, WHITE",mwi-ihs5-non_standard_food_list
MWI,IHS5,SOYA,301,"BEAN, WHITE",mwi-ihs5-non_standard_food_list
MWI,IHS5,"BEAN, BROWN",302,"BEAN, BROWN",mwi-ihs5-standard_food_list
MWI,IHS5,GROUND AND COOKED BEANS,302,"BEAN, BROWN",mwi-ihs5-non_standard_food_list
MWI,IHS5,KHUNGUZU,302,"BEAN, BROWN",mwi-ihs5-non_standard_food_list
MWI,IHS5,MIXED BEANS,302,"BEAN, BROWN",mwi-ihs5-non_standard_food_list
MWI,IHS5,NKHUNGUZU,302,"BEAN, BROWN",mwi-ihs5-non_standard_food_list
MWI,IHS5,RED BEANS,302,"BEAN, BROWN",mwi-ihs5-non_standard_food_list
MWI,IHS5,YELLOW BEANS,302,"BEAN, BROWN",mwi-ihs5-non_standard_food_list
