country,survey,item_code_code,item_code_name,priority,source,standard_food_code,standard_food_name
MWI,IHS5,414,CHIGWADWA (CASSAVA LEAVES),3,MWI-IHS5-non-standard-list,NA,NA
MWI,IHS5,414,CHITAMBE (MFUTSO),3,MWI-IHS5-non-standard-list,NA,NA
MWI,IHS5,908,CHIBUKU (COMMERCIAL TRADITIONAL-STYLE BEER),3,MWI-IHS5-non-standard-list,NA,NA
MWI,IHS5,916,DRAGON FROZY,3,MWI-IHS5-non-standard-list,NA,NA
MWI,IHS5,101,MAIZE UFA MGAIWA (NORMAL FLOUR),1,MWI-IHS5-standard-list,101,MAIZE UFA MGAIWA (NORMAL FLOUR)
MWI,IHS5,102,MAIZE UFA REFINED (FINE FLOUR),1,MWI-IHS5-standard-list,102,MAIZE UFA REFINED (FINE FLOUR)
MWI,IHS5,103,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),1,MWI-IHS5-standard-list,103,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED)
MWI,IHS5,104,MAIZE GRAIN (NOT AS UFA),1,MWI-IHS5-standard-list,104,MAIZE GRAIN (NOT AS UFA)
MWI,IHS5,105,GREEN MAIZE,1,MWI-IHS5-standard-list,105,GREEN MAIZE
MWI,IHS5,106,RICE,1,MWI-IHS5-standard-list,106,RICE
MWI,IHS5,107,FINGER MILLET (MAWERE),1,MWI-IHS5-standard-list,107,FINGER MILLET (MAWERE)
MWI,IHS5,108,SORGHUM (MAPIRA),1,MWI-IHS5-standard-list,108,SORGHUM (MAPIRA)
MWI,IHS5,109,PEARL MILLET (MCHEWERE),1,MWI-IHS5-standard-list,109,PEARL MILLET (MCHEWERE)
MWI,IHS5,110,WHEAT FLOUR,1,MWI-IHS5-standard-list,110,WHEAT FLOUR
MWI,IHS5,111,BREAD,1,MWI-IHS5-standard-list,111,BREAD
MWI,IHS5,112,"BUNS, SCONES",1,MWI-IHS5-standard-list,112,"BUNS, SCONES"
MWI,IHS5,113,BISCUITS,1,MWI-IHS5-standard-list,113,BISCUITS
MWI,IHS5,114,"SPAGHETTI, MACARONI, PASTA",1,MWI-IHS5-standard-list,114,"SPAGHETTI, MACARONI, PASTA"
MWI,IHS5,115,BREAKFAST CEREALS,1,MWI-IHS5-standard-list,115,BREAKFAST CEREALS
MWI,IHS5,116,INFANT FEEDING CEREALS,1,MWI-IHS5-standard-list,116,INFANT FEEDING CEREALS
MWI,IHS5,118,MAIZE UFA RAW MADEYA (BRAN FLOUR - UNPROCESSED),1,MWI-IHS5-standard-list,118,MAIZE UFA RAW MADEYA (BRAN FLOUR - UNPROCESSED)
