region,food_item_name,food_item_code,unit_code,unit_name,measure_id,factor
1,MAIZE UFA MGAIWA (NORMAL FLOUR),101,97,BASIN,1-97-101,3.4000000950000002
2,MAIZE UFA MGAIWA (NORMAL FLOUR),101,97,BASIN,2-97-101,3.4000000950000002
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,97,BASIN,3-97-101,3.4000000950000002
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,84,CUP,3-84-101,0.444999993
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,82,3LITRE BUCKET,3-82-101,2.328000069
1,MAIZE UFA MGAIWA (NORMAL FLOUR),101,25,TINA,1-25-101,0.323000014
2,MAIZE UFA MGAIWA (NORMAL FLOUR),101,25,TINA,2-25-101,0.245000005
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,25,TINA,3-25-101,0.300000012
1,MAIZE UFA MGAIWA (NORMAL FLOUR),101,26,5 LITRE BUCKET CHIGOBA,1-26-101,3.880000114
2,MAIZE UFA MGAIWA (NORMAL FLOUR),101,26,5 LITRE BUCKET CHIGOBA,2-26-101,3.880000114
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,26,5 LITRE BUCKET CHIGOBA,3-26-101,3.880000114
1,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4,PAIL,1-4-101,1.933333278
2,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4,PAIL,2-4-101,5.132249832
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4,PAIL,3-4-101,5.149000168
1,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4A,PAIL SMALL,1-4A-101,3.661499977
2,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4A,PAIL SMALL,2-4A-101,3.9400000570000002
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4A,PAIL SMALL,3-4A-101,4
1,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4B,PAIL MEDIUM,1-4B-101,6.360499859
2,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4B,PAIL MEDIUM,2-4B-101,5.985000134
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4B,PAIL MEDIUM,3-4B-101,6.616999626
1,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4C,PAIL LARGE,1-4C-101,12.899999619999999
2,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4C,PAIL LARGE,2-4C-101,12.91499996
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,4C,PAIL LARGE,3-4C-101,13.5
1,MAIZE UFA MGAIWA (NORMAL FLOUR),101,6,NO.. 10 PLATE,1-6-101,0.079999998
2,MAIZE UFA MGAIWA (NORMAL FLOUR),101,6,NO.. 10 PLATE,2-6-101,0.135000005
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,6,NO.. 10 PLATE,3-6-101,0.127499998
1,MAIZE UFA MGAIWA (NORMAL FLOUR),101,7,NO.. 12 PLATE,1-7-101,0.144999996
2,MAIZE UFA MGAIWA (NORMAL FLOUR),101,7,NO.. 12 PLATE,2-7-101,0.215000004
3,MAIZE UFA MGAIWA (NORMAL FLOUR),101,7,NO.. 12 PLATE,3-7-101,0.2315
1,MAIZE UFA REFINED (FINE FLOUR),102,97,BASIN,1-97-102,3.404999971
2,MAIZE UFA REFINED (FINE FLOUR),102,97,BASIN,2-97-102,3.404999971
3,MAIZE UFA REFINED (FINE FLOUR),102,85,PIECE,3-85-102,0.129999995
3,MAIZE UFA REFINED (FINE FLOUR),102,84,CUP,3-84-102,0.49000001
3,MAIZE UFA REFINED (FINE FLOUR),102,97,BASIN,3-97-102,3.404999971
1,MAIZE UFA REFINED (FINE FLOUR),102,25,TINA,1-25-102,0.287999988
2,MAIZE UFA REFINED (FINE FLOUR),102,25,TINA,2-25-102,0.217500001
3,MAIZE UFA REFINED (FINE FLOUR),102,25,TINA,3-25-102,0.324000001
1,MAIZE UFA REFINED (FINE FLOUR),102,26,5 LITRE BUCKET CHIGOBA,1-26-102,3.065999985
2,MAIZE UFA REFINED (FINE FLOUR),102,26,5 LITRE BUCKET CHIGOBA,2-26-102,3.065999985
3,MAIZE UFA REFINED (FINE FLOUR),102,26,5 LITRE BUCKET CHIGOBA,3-26-102,3.065999985
1,MAIZE UFA REFINED (FINE FLOUR),102,4,PAIL,1-4-102,1.833333373
2,MAIZE UFA REFINED (FINE FLOUR),102,4,PAIL,2-4-102,5.015500069
3,MAIZE UFA REFINED (FINE FLOUR),102,4,PAIL,3-4-102,3.10619998
1,MAIZE UFA REFINED (FINE FLOUR),102,4A,PAIL SMALL,1-4A-102,3.461999893
2,MAIZE UFA REFINED (FINE FLOUR),102,4A,PAIL SMALL,2-4A-102,3.505000114
3,MAIZE UFA REFINED (FINE FLOUR),102,4A,PAIL SMALL,3-4A-102,4.308000088
1,MAIZE UFA REFINED (FINE FLOUR),102,4B,PAIL MEDIUM,1-4B-102,7.717000008
2,MAIZE UFA REFINED (FINE FLOUR),102,4B,PAIL MEDIUM,2-4B-102,5.224999905
3,MAIZE UFA REFINED (FINE FLOUR),102,4B,PAIL MEDIUM,3-4B-102,7.116499901
1,MAIZE UFA REFINED (FINE FLOUR),102,4C,PAIL LARGE,1-4C-102,12.98200035
2,MAIZE UFA REFINED (FINE FLOUR),102,4C,PAIL LARGE,2-4C-102,10.83099937
3,MAIZE UFA REFINED (FINE FLOUR),102,4C,PAIL LARGE,3-4C-102,15
1,MAIZE UFA REFINED (FINE FLOUR),102,6,NO. 10 PLATE,1-6-102,0.213815793
2,MAIZE UFA REFINED (FINE FLOUR),102,6,NO.. 10 PLATE,2-6-102,0.104999997
3,MAIZE UFA REFINED (FINE FLOUR),102,6,NO. 10 PLATE,3-6-102,0.167999998
1,MAIZE UFA REFINED (FINE FLOUR),102,7,NO.. 12 PLATE,1-7-102,0.125
2,MAIZE UFA REFINED (FINE FLOUR),102,7,NO.. 12 PLATE,2-7-102,0.143999994
3,MAIZE UFA REFINED (FINE FLOUR),102,7,NO. 12 PLATE,3-7-102,0.266178578
1,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,87,PAIL SMALL,1-87-103,2.285000086
1,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,25,TINA,1-25-103,1.182
2,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,25,TINA,2-25-103,0.165999994
3,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,25,TINA,3-25-103,0.198000014
1,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,26,5 LITRE BUCKET CHIGOBA,1-26-103,2.285000086
2,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,26,5 LITRE BUCKET CHIGOBA,2-26-103,2.285000086
3,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,26,5 LITRE BUCKET CHIGOBA,3-26-103,2.285000086
2,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED),103,86,5 LITRE BUCKET CHIGOBA,2-86-103,2.285000086
1,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4,PAIL,1-4-103,1.639999986
2,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4,PAIL,2-4-103,1.639999986
3,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4,PAIL,3-4-103,1.639999986
1,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4A,PAIL SMALL,1-4A-103,1.639999986
2,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4A,PAIL SMALL,2-4A-103,3.272500038
3,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4A,PAIL SMALL,3-4A-103,3.227999926
1,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4B,PAIL MEDIUM,1-4B-103,11.38199997
2,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4B,PAIL MEDIUM,2-4B-103,4.800000191
3,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4B,PAIL MEDIUM,3-4B-103,5.820000172
1,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4C,PAIL LARGE,1-4C-103,17.66666603
2,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4C,PAIL LARGE,2-4C-103,9.81499958
3,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,4C,PAIL LARGE,3-4C-103,10.399999619999999
2,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,6,NO.. 10 PLATE,2-6-103,0.064000003
2,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,7,NO.. 12 PLATE,2-7-103,0.143999994
1,MAIZE GRAIN (NOT AS UFA),104,85,PIECE,1-85-104,0.129999995
2,MAIZE GRAIN (NOT AS UFA),104,77,COB,2-77-104,0.129999995
2,MAIZE GRAIN (NOT AS UFA),104,84,CUP,2-84-104,0.469999999
2,MAIZE GRAIN (NOT AS UFA),104,85,PIECE,2-85-104,0.129999995
3,MAIZE GRAIN (NOT AS UFA),104,85,PIECE,3-85-104,0.129999995
3,MAIZE GRAIN (NOT AS UFA),104,84,CUP,3-84-104,0.469999999
3,MAIZE GRAIN (NOT AS UFA),104,77,COB,3-77-104,0.129999995
1,MAIZE GRAIN (NOT AS UFA),104,26,5 LITRE BUCKET CHIGOBA,1-26-104,5.223999977
2,MAIZE GRAIN (NOT AS UFA),104,26,5 LITRE BUCKET CHIGOBA,2-26-104,5.099999905
3,MAIZE GRAIN (NOT AS UFA),104,26,5 LITRE BUCKET CHIGOBA,3-26-104,5.146499634
1,MAIZE GRAIN (NOT AS UFA),104,27A,BASIN SMALL,1-27A-104,4.132999897
2,MAIZE GRAIN (NOT AS UFA),104,27A,BASIN SMALL,2-27A-104,4
3,MAIZE GRAIN (NOT AS UFA),104,27A,BASIN SMALL,3-27A-104,4.193999767
1,MAIZE GRAIN (NOT AS UFA),104,4,PAIL,1-4-104,4.378749847
2,MAIZE GRAIN (NOT AS UFA),104,4,PAIL,2-4-104,4.474571228
3,MAIZE GRAIN (NOT AS UFA),104,4,PAIL,3-4-104,4.259666443
1,MAIZE GRAIN (NOT AS UFA),104,4A,PAIL SMALL,1-4A-104,4.372000217
2,MAIZE GRAIN (NOT AS UFA),104,4A,PAIL SMALL,2-4A-104,5.293749809
3,MAIZE GRAIN (NOT AS UFA),104,4A,PAIL SMALL,3-4A-104,5.25
1,MAIZE GRAIN (NOT AS UFA),104,4B,PAIL MEDIUM,1-4B-104,10.04199982
2,MAIZE GRAIN (NOT AS UFA),104,4B,PAIL MEDIUM,2-4B-104,8.085000038
3,MAIZE GRAIN (NOT AS UFA),104,4B,PAIL MEDIUM,3-4B-104,8.938999176
1,MAIZE GRAIN (NOT AS UFA),104,4C,PAIL LARGE,1-4C-104,18.68700027
2,MAIZE GRAIN (NOT AS UFA),104,4C,PAIL LARGE,2-4C-104,16.75
3,MAIZE GRAIN (NOT AS UFA),104,4C,PAIL LARGE,3-4C-104,18
1,MAIZE GRAIN (NOT AS UFA),104,6,NO.. 10 PLATE,1-6-104,0.119999997
2,MAIZE GRAIN (NOT AS UFA),104,6,NO.. 10 PLATE,2-6-104,0.115000002
3,MAIZE GRAIN (NOT AS UFA),104,6,NO.. 10 PLATE,3-6-104,0.118000001
1,MAIZE GRAIN (NOT AS UFA),104,7,NO.. 12 PLATE,1-7-104,0.210000008
2,MAIZE GRAIN (NOT AS UFA),104,7,NO.. 12 PLATE,2-7-104,0.25
3,MAIZE GRAIN (NOT AS UFA),104,7,NO.. 12 PLATE,3-7-104,0.287500024
1,GREEN MAIZE,105,4,PAIL,1-4-105,3.880000114
2,GREEN MAIZE,105,4,PAIL,2-4-105,3.880000114
3,GREEN MAIZE,105,4,PAIL,3-4-105,3.880000114
1,GREEN MAIZE,105,9,PIECE,1-9-105,0.382727265
2,GREEN MAIZE,105,9,PIECE,2-9-105,0.334380955
3,GREEN MAIZE,105,9,PIECE,3-9-105,0.336800009
1,GREEN MAIZE,105,9A,PIECE SMALL,1-9A-105,0.286000013
2,GREEN MAIZE,105,9A,PIECE SMALL,2-9A-105,0.310000002
3,GREEN MAIZE,105,9A,PIECE SMALL,3-9A-105,0.275000006
1,GREEN MAIZE,105,9B,PIECE MEDIUM,1-9B-105,0.333000004
2,GREEN MAIZE,105,9B,PIECE MEDIUM,2-9B-105,0.360000014
3,GREEN MAIZE,105,9B,PIECE MEDIUM,3-9B-105,0.317999989
1,GREEN MAIZE,105,9C,PIECE LARGE,1-9C-105,0.392699987
2,GREEN MAIZE,105,9C,PIECE LARGE,2-9C-105,0.432000011
