country_name,survey_name,survey_consumption_unit,standard_unit_code,standard_unit_name
MWI,IHS5,,,
MWI,IHS5,100 GRAM,,
MWI,IHS5,1000G PACKET,,
MWI,IHS5,10G PACKET,,
MWI,IHS5,10KG PAIL,,
MWI,IHS5,10L BUCKET,,
MWI,IHS5,125G PACKET,,
MWI,IHS5,135G PACKET,,
MWI,IHS5,149G TIN,,
MWI,IHS5,1LITRE BOTTLE SUPER,,
MWI,IHS5,20 LITRE PAIL,,
MWI,IHS5,200 GRAM,,
MWI,IHS5,20G,,
MWI,IHS5,25 GRAM SATCHET,,
MWI,IHS5,250 GRAM,,
MWI,IHS5,300GRAMS,,
MWI,IHS5,350L BOTTLE,,
MWI,IHS5,3LITRE BUCKET,,
MWI,IHS5,5 LITRE BUCKET(Chigoba),,
MWI,IHS5,50 GRAM,,
MWI,IHS5,50 KG,,
MWI,IHS5,500 GRAM,,
MWI,IHS5,5L BUCKET,,
MWI,IHS5,6 PACK,,
MWI,IHS5,60 GRAMS,,
MWI,IHS5,70 GRAM,,
MWI,IHS5,80G PACKET,,
MWI,IHS5,90 GRAM,,
MWI,IHS5,BAKERY DONAS,,
MWI,IHS5,BAR,,
MWI,IHS5,BASIN,,
MWI,IHS5,BASIN (SMALL),,
MWI,IHS5,BASIN (SMALL) FLAT,,
MWI,IHS5,BASIN (SMALL) HEAPED,,
MWI,IHS5,BATCHES,,
MWI,IHS5,BIG PACKET,,
MWI,IHS5,BIG POT,,
MWI,IHS5,BOTTLE (SMALL),,
MWI,IHS5,BOX SMALL,,
MWI,IHS5,BUNCH,,
MWI,IHS5,BUNCH LARGE,,
MWI,IHS5,BUNCH MEDIUM,,
MWI,IHS5,BUNCH SMALL,,
MWI,IHS5,BUNDLE,,
MWI,IHS5,CAN,,
MWI,IHS5,CARTON SMALL,,
MWI,IHS5,CHIKANG'A,,
MWI,IHS5,CHISA,,
MWI,IHS5,CLOVE,,
MWI,IHS5,CLUSTER,,
MWI,IHS5,CLUSTER LARGE,,
MWI,IHS5,CLUSTER MEDIUM,,
MWI,IHS5,CLUSTER SMALL,,
MWI,IHS5,COB,,
MWI,IHS5,CONTAINER SMALL,,
MWI,IHS5,CRATE,,
MWI,IHS5,CUBES,,
MWI,IHS5,CUP,,
MWI,IHS5,DOZEN,,
MWI,IHS5,DROPS,,
MWI,IHS5,FULL,,
MWI,IHS5,G,,
MWI,IHS5,GABA PAIL,,
MWI,IHS5,GLASS,,
